D_meas_3kPa	D_pnm
0.011217026	0.011718795
0.013074051	0.013197944
0.007139423	0.020253514
0.010923086	0.008903392	
0.006641621	0.005469963
0.005308235	0.007682709
0.00484072	0.005429580
0.004355038	2.64338E-05
0.003456743	0.006700324
0.007692396	0.017177386
0.005345096	0.000207473
0.002515614	0.000289074


