a_meas_3kPa	a_pnm
0.3575119	0.246322079
0.35898329	0.372231646
0.307539338	0.524455122
0.390396983	0.401922407
0.202467269	0.146731661
0.127477061	0.103462829
0.168490171	0.131178454
0.062818526	0.057507276
0.073691949	0.100277679
0.104433392	0.16154005
0.086753897	0.099826857
0.047281853	0.060623337
